Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Solomon Islands,Beverages,Offline,C,05/11/2015,871056020,5/30/2015,3688,47.45,31.79,174995.6,117241.52,57754.08
Europe,Monaco,Office Supplies,Online,M,1/13/2012,982711875,1/17/2012,5137,651.21,524.96,3345265.77,2696719.52,648546.25
Sub-Saharan Africa,Comoros,Beverages,Offline,L,08/10/2014,580605828,8/20/2014,3022,47.45,31.79,143393.9,96069.38,47324.52
Europe,Iceland,Meat,Online,L,4/22/2013,899161708,4/28/2013,786,421.89,364.69,331605.54,286646.34,44959.2
Sub-Saharan Africa,Zambia,Cosmetics,Offline,M,7/26/2014,993115842,8/20/2014,3902,437.2,263.33,1705954.4,1027513.66,678440.74
Middle East and North Africa,Egypt,Cereal,Online,C,7/14/2014,887517058,8/20/2014,4875,205.7,117.11,1002787.5,570911.25,431876.25
Sub-Saharan Africa,Togo,Clothes,Offline,L,06/01/2010,227726686,6/28/2010,8242,109.28,35.84,900685.76,295393.28,605292.48
Middle East and North Africa,Saudi Arabia,Vegetables,Online,H,11/04/2011,529418551,11/20/2011,5569,154.06,90.93,857960.14,506389.17,351570.97
Middle East and North Africa,Morocco,Vegetables,Offline,L,5/15/2014,228578984,6/26/2014,456,154.06,90.93,70251.36,41464.08,28787.28
Middle East and North Africa,Tunisia ,Office Supplies,Offline,L,10/28/2010,531506812,11/23/2010,3532,651.21,524.96,2300073.72,1854158.72,445915
Sub-Saharan Africa,Angola,Cosmetics,Offline,L,04/01/2010,464813363,04/08/2010,7458,437.2,263.33,3260637.6,1963915.14,1296722.46
Asia,Vietnam,Cereal,Offline,H,5/22/2011,925422465,06/02/2011,1927,205.7,117.11,396383.9,225670.97,170712.93
Europe,Belarus,Meat,Online,L,1/20/2014,630570447,2/15/2014,8663,421.89,364.69,3654833.07,3159309.47,495523.6
Asia,Myanmar,Snacks,Offline,C,05/05/2015,167806136,06/03/2015,6420,152.58,97.44,979563.6,625564.8,353998.8
Europe,Lithuania,Fruits,Offline,H,5/25/2013,644990861,06/04/2013,5984,9.33,6.92,55830.72,41409.28,14421.44
Europe,Switzerland,Baby Food,Offline,M,3/26/2011,540298449,5/15/2011,5173,255.28,159.42,1320563.44,824679.66,495883.78
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Offline,M,11/30/2012,652215230,01/06/2013,3835,255.28,159.42,978998.8,611375.7,367623.1
Asia,Mongolia,Meat,Offline,M,3/23/2012,949540030,3/26/2012,8851,421.89,364.69,3734148.39,3227871.19,506277.2
North America,Greenland,Fruits,Online,L,7/30/2011,121384179,09/12/2011,9131,9.33,6.92,85192.23,63186.52,22005.71
Sub-Saharan Africa,Eritrea,Cosmetics,Offline,H,8/30/2010,527171504,10/07/2010,618,437.2,263.33,270189.6,162737.94,107451.66
Europe,Lithuania,Baby Food,Online,C,3/28/2010,546638333,4/28/2010,1285,255.28,159.42,328034.8,204854.7,123180.1
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care,Offline,L,12/01/2015,429833495,12/08/2015,6138,81.73,56.67,501658.74,347840.46,153818.28
Europe,Portugal,Vegetables,Offline,L,8/26/2011,947118318,09/08/2011,2212,154.06,90.93,340780.72,201137.16,139643.56
Middle East and North Africa,Somalia,Beverages,Offline,M,7/17/2016,239166629,8/20/2016,3575,47.45,31.79,169633.75,113649.25,55984.5
Middle East and North Africa,Turkey,Clothes,Online,M,11/20/2012,566964757,12/07/2012,6326,109.28,35.84,691305.28,226723.84,464581.44
Middle East and North Africa,Israel,Vegetables,Offline,H,7/23/2010,661811530,09/10/2010,3594,154.06,90.93,553691.64,326802.42,226889.22
Central America and the Caribbean,Dominica,Clothes,Online,H,11/29/2012,675318276,12/28/2012,540,109.28,35.84,59011.2,19353.6,39657.6
Europe,Luxembourg,Meat,Offline,C,01/07/2013,829408824,2/23/2013,9357,421.89,364.69,3947624.73,3412404.33,535220.4
Europe,Switzerland,Meat,Online,L,7/31/2012,966319501,08/01/2012,4269,421.89,364.69,1801048.41,1556861.61,244186.8
Asia,Singapore,Baby Food,Online,H,08/01/2010,998599135,09/05/2010,6530,255.28,159.42,1666978.4,1041012.6,625965.8
Europe,Cyprus,Snacks,Offline,C,8/25/2014,459109055,10/13/2014,9427,152.58,97.44,1438371.66,918566.88,519804.78
Sub-Saharan Africa,Botswana,Baby Food,Offline,H,07/11/2014,751023089,8/13/2014,3276,255.28,159.42,836297.28,522259.92,314037.36
Central America and the Caribbean,Belize,Office Supplies,Online,C,03/07/2016,197827565,4/21/2016,428,651.21,524.96,278717.88,224682.88,54035
Sub-Saharan Africa,Malawi,Clothes,Online,C,4/15/2015,793321311,05/09/2015,260,109.28,35.84,28412.8,9318.4,19094.4
Asia,Kyrgyzstan,Personal Care,Online,H,2/24/2016,551615655,3/23/2016,4185,81.73,56.67,342040.05,237163.95,104876.1
Europe,Macedonia,Snacks,Online,C,10/11/2012,257134425,10/12/2012,645,152.58,97.44,98414.1,62848.8,35565.3
Sub-Saharan Africa,Rwanda,Household,Online,C,5/28/2015,314613950,5/29/2015,114,668.27,502.54,76182.78,57289.56,18893.22
Sub-Saharan Africa,Cape Verde,Snacks,Offline,C,5/19/2016,299103057,06/11/2016,96,152.58,97.44,14647.68,9354.24,5293.44
Middle East and North Africa,Pakistan,Office Supplies,Online,L,9/14/2016,305963075,10/11/2016,128,651.21,524.96,83354.88,67194.88,16160
Asia,Kyrgyzstan,Baby Food,Offline,M,8/24/2014,500867831,09/02/2014,6777,255.28,159.42,1730032.56,1080389.34,649643.22
Sub-Saharan Africa,Eritrea,Personal Care,Offline,H,02/11/2017,669803655,3/14/2017,8641,81.73,56.67,706228.93,489685.47,216543.46
